file,rel_path,dpi,crop_px,root_min_border_px,root_would_be_cut,border_dark_before,border_dark_after
F28-002.jpg,图片\0807\F28-002.jpg,600.0,59,0,True,6.79,0.27
F46-002.jpg,图片\0807\F46-002.jpg,600.0,59,0,True,5.39,0.61
F52-003.jpg,图片\0807\F52-003.jpg,600.0,59,0,True,5.57,0.74
G22-001.jpg,图片\0807\G22-001.jpg,600.0,59,0,True,27.34,3.79
G23-001.jpg,图片\0807\G23-001.jpg,600.0,59,0,True,4.16,2.49
G23-002.jpg,图片\0807\G23-002.jpg,600.0,59,0,True,1.47,0.56
G23-003.jpg,图片\0807\G23-003.jpg,600.0,59,0,True,2.66,0.46
G27-002.jpg,图片\0807\G27-002.jpg,600.0,59,0,True,3.61,1.01
G27-003.jpg,图片\0807\G27-003.jpg,600.0,59,0,True,1.97,0.65
G28-001.jpg,图片\0807\G28-001.jpg,600.0,59,0,True,2.33,0.46
